#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AS,Alluri Sitharama Raju,Paderu,954000,12251,77.87,Andhra Pradesh,Tier I
2,AK,Anakapalli,Anakapalli,1727000,4292,402.38,Andhra Pradesh,Tier I
3,AN,Ananthapuramu,Ananthapuramu,2241100,10205,219.608,Andhra Pradesh,Tier I
4,AM,Annamayya,Rayachoti,1697300,7954,213.389,Andhra Pradesh,Tier I
5,BP,Bapatla,Bapatla,1587000,3829,414.47,Andhra Pradesh,Tier I
6,CH,Chittoor,Chittoor,1873000,6855,273.23,Andhra Pradesh,Tier I
7,KN,Dr. B.R. Ambedkar Konaseema,Amalapuram,1719100,2083,825.3,Andhra Pradesh,Tier I
8,EG,East Godavari,Rajamahendravaram,1832300,2561,715.46,Andhra Pradesh,Tier I
9,EL,Eluru,Eluru,2071700,6679,310.181,Andhra Pradesh,Tier I
10,GU,Guntur,Guntur,2091000,2443,855.9,Andhra Pradesh,Tier I
11,KK,Kakinada,Kakinada,2092300,3019,693.04,Andhra Pradesh,Tier I
12,KR,Krishna,Machilipatnam,1735000,3775,459.602,Andhra Pradesh,Tier I
13,KU,Kurnool,Kurnool,2271700,7980,284.67,Andhra Pradesh,Tier I
14,NN,Nandyal,Nandyal,1781800,9682,184.032,Andhra Pradesh,Tier I
15,NE,Nellore,Nellore,2469700,10441,236.0,Andhra Pradesh,Tier I
16,NT,NTR,Vijayawada,2218000,3316,668.88,Andhra Pradesh,Tier I
17,PL,Palnadu,Narasaraopet,2042000,7298,279.8,Andhra Pradesh,Tier I
18,PM,Parvathipuram Manyam,Parvathipuram,925300,3659,252.88,Andhra Pradesh,Tier I
19,PR,Prakasam,Ongole,2288000,14322,160.0,Andhra Pradesh,Tier I
20,SR,Srikakulam,Srikakulam,2191471,4591,477.34,Andhra Pradesh,Tier I
21,SS,Sri Sathya Sai,Puttaparthi,1840000,8925,206.2,Andhra Pradesh,Tier I
22,TR,Tirupati,Tirupati,2197000,8231,241.72,Andhra Pradesh,Tier I
23,VS,Visakhapatnam,Visakhapatnam,1959500,1048,1869.8,Andhra Pradesh,Tier I
24,VZ,Vizianagaram,Vizianagaram,1930800,4122,468.41,Andhra Pradesh,Tier I
25,WG,West Godavari,Bhimavaram,1780000,2178,817.3,Andhra Pradesh,Tier I
26,CU,YSR Kadapa,Kadapa,2060700,11228,183.532,Andhra Pradesh,Tier I
