#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,BK,Baksa,Mushalpur,953773,2008,475,Assam,Tier I
2,BJ,Bajali,Pathsala,253816,418,610,Assam,Tier I
3,BP,Barpeta,Barpeta,1693622,3245,520,Assam,Tier I
4,BN,Biswanath,Biswanath Chariali,612491,1415,430,Assam,Tier I
5,BO,Bongaigaon,Bongaigaon,732639,1724,425,Assam,Tier I
6,CA,Cachar,Silchar,1736319,3786,459,Assam,Tier I
7,CD,Charaideo,Sonari,471418,1069,440,Assam,Tier I
8,CH,Chirang,Kajalgaon,481818,1975,244,Assam,Tier I
9,DR,Darrang,Mangaldoi,908090,1849,491,Assam,Tier I
10,DM,Dhemaji,Dhemaji,688077,3237,213,Assam,Tier I
11,DU,Dhubri,Dhubri,1948632,2838,687,Assam,Tier I
12,DI,Dibrugarh,Dibrugarh,1327748,3381,393,Assam,Tier I
13,NC,Dima Hasao,Haflong,213529,4888,44,Assam,Tier I
14,GP,Goalpara,Goalpara,1008959,1824,553,Assam,Tier I
15,GG,Golaghat,Golaghat,1058674,3502,302,Assam,Tier I
16,HA,Hailakandi,Hailakandi,659260,1327,497,Assam,Tier I
17,HJ,Hojai,Sankardev Nagar,931218,1686,550,Assam,Tier I
18,JO,Jorhat,Jorhat,1091295,2851,383,Assam,Tier I
19,KU,Kamrup,Amingaon,1517202,3480,436,Assam,Tier I
20,KM,Kamrup Metropolitan,Guwahati,1260419,627,2010,Assam,Tier I
21,KG,Karbi Anglong,Diphu,965280,10434,93,Assam,Tier I
22,KR,Karimganj,Karimganj,1217002,1809,673,Assam,Tier I
23,KJ,Kokrajhar,Kokrajhar,886999,3129,283,Assam,Tier I
24,LA,Lakhimpur,North Lakhimpur,1040644,2277,457,Assam,Tier I
25,MJ,Majuli,Garamur,167304,880,300,Assam,Tier I
26,MA,Morigaon,Marigaon,957853,1704,562,Assam,Tier I
27,NN,Nagaon,Nagaon,2826006,3831,738,Assam,Tier I
28,NB,Nalbari,Nalbari,769919,1009,763,Assam,Tier I
29,ST,Sivasagar,Sibsagar,1150253,2668,431,Assam,Tier I
30,SO,Sonitpur,Tezpur,1925975,5324,362,Assam,Tier I
31,SM,South Salmara-Mankachar,Hatsingimari,555114,568,980,Assam,Tier I
32,TP,Tamulpur,Tamulpur,389150,884,440,Assam,Tier I
33,TI,Tinsukia,Tinsukia,1316948,3790,347,Assam,Tier I
34,UD,Udalguri,Udalguri,832769,1676,497,Assam,Tier I
35,WK,West Karbi Anglong,Hamren,300320,3035,99,Assam,Tier I
