#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AR,Araria,Araria,2806200,2829,992,Bihar,Tier I
2,AW,Arwal,Arwal,700843,638,1098,Bihar,Tier I
3,AU,Aurangabad,Aurangabad,2511243,3303,760,Bihar,Tier I
4,BA,Banka,Banka,2029339,3018,672,Bihar,Tier I
5,BE,Begusarai,Begusarai,2954367,1917,1540,Bihar,Tier I
6,BG,Bhagalpur,Bhagalpur,3032226,2569,1180,Bihar,Tier I
7,BJ,Bhojpur,Arrah,2720155,2473,1136,Bihar,Tier I
8,BU,Buxar,Buxar,1707643,1624,1003,Bihar,Tier I
9,DA,Darbhanga,Darbhanga,3921971,2278,1721,Bihar,Tier I
10,EC,East Champaran,Motihari,5082868,3969,1281,Bihar,Tier I
11,GA,Gaya,Gaya,4379383,4978,880,Bihar,Tier I
12,GO,Gopalganj,Gopalganj,2558037,2033,1258,Bihar,Tier I
13,JA,Jamui,Jamui,1756078,3099,567,Bihar,Tier I
14,JE,Jehanabad,Jehanabad,1124176,1569,1206,Bihar,Tier I
15,KM,Kaimur,Bhabua,1626900,3363,488,Bihar,Tier I
16,KT,Katihar,Katihar,3068149,3056,1004,Bihar,Tier I
17,KH,Khagaria,Khagaria,1657599,1486,1115,Bihar,Tier I
18,KI,Kishanganj,Kishanganj,1690948,1884,898,Bihar,Tier I
19,LA,Lakhisarai,Lakhisarai,1000717,1229,815,Bihar,Tier I
20,MP,Madhepura,Madhepura,1994618,1787,1116,Bihar,Tier I
21,MB,Madhubani,Madhubani,4476044,3501,1279,Bihar,Tier I
22,MG,Munger,Munger,1359054,1419,958,Bihar,Tier I
23,MZ,Muzaffarpur,Muzaffarpur,4778610,3173,1506,Bihar,Tier I
24,NL,Nalanda,Bihar Sharif,2872523,2354,1220,Bihar,Tier I
25,NW,Nawada,Nawada,2216653,2492,889,Bihar,Tier I
26,PA,Patna,Patna,5772804,3202,1803,Bihar,Tier I
27,PU,Purnia,Purnia,3273127,3228,1014,Bihar,Tier I
28,RO,Rohtas,Sasaram,2962593,3850,763,Bihar,Tier I
29,SH,Saharsa,Saharsa,1897102,1702,1125,Bihar,Tier I
30,SM,Samastipur,Samastipur,4254782,2905,1465,Bihar,Tier I
31,SR,Saran,Chhapra,3943098,2641,1493,Bihar,Tier I
32,SP,Sheikhpura,Sheikhpura,634927,689,922,Bihar,Tier I
33,SO,Sheohar,Sheohar,656916,443,1882,Bihar,Tier I
34,ST,Sitamarhi,Sitamarhi,3419622,2199,1491,Bihar,Tier I
35,SW,Siwan,Siwan,3318176,2219,1495,Bihar,Tier I
36,SU,Supaul,Supaul,2228397,2410,919,Bihar,Tier I
37,VA,Vaishali,Hajipur,3495021,2036,1717,Bihar,Tier I
38,WC,West Champaran,Bettiah,3935042,5229,753,Bihar,Tier I
