#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,–,Balod,Balod,826165,3527,234.0,Chhattisgarh,Tier I
2,–,Baloda Bazar,Baloda Bazar,1305343,4748,275.0,Chhattisgarh,Tier I
3,–,Balrampur-Ramanujganj,Balrampur,730491,3806,190.0,Chhattisgarh,Tier I
4,BA,Bastar,Jagdalpur,834873,4030,210.0,Chhattisgarh,Tier I
5,–,Bemetara,Bemetara,795759,2855,270.0,Chhattisgarh,Tier I
6,BJ,Bijapur,Bijapur,229832,6562,35.0,Chhattisgarh,Tier I
7,BI,Bilaspur,Bilaspur,1961922,3508,460.0,Chhattisgarh,Tier I
8,DA,Dantewada,Dantewada,533638,3411,59.0,Chhattisgarh,Tier I
9,DH,Dhamtari,Dhamtari,799199,2029,394.0,Chhattisgarh,Tier I
10,DU,Durg,Durg,1721726,2238,770.0,Chhattisgarh,Tier I
11,–,Gariaband,Gariaband,597653,5823,103.0,Chhattisgarh,Tier I
12,–,Gaurela-Pendra-Marwahi,Gaurela,336420,2307,150.0,Chhattisgarh,Tier I
13,JC,Janjgir-Champa,Janjgir,1620632,3848,421.0,Chhattisgarh,Tier I
14,JA,Jashpur,Jashpur Nagar,852043,5825,146.0,Chhattisgarh,Tier I
15,KW,Kabirdham,Kawardha,584667,4237,195.0,Chhattisgarh,Tier I
16,KK,Kanker,Kanker,748593,6513,115.0,Chhattisgarh,Tier I
17,–,Khairagarh-Chhuikhadan-Gandai,Khairagarh,368444,-,,Chhattisgarh,Tier I
18,–,Kondagaon,Kondagaon,578326,7768,74.0,Chhattisgarh,Tier I
19,KB,Korba,Korba,1206563,6615,183.0,Chhattisgarh,Tier I
20,KJ,Korea,Baikunthpur,659039,6578,100.0,Chhattisgarh,Tier I
21,MA,Mahasamund,Mahasamund,1032275,4779,216.0,Chhattisgarh,Tier I
22,MG,Manendragarh-Chirmiri-Bharatpur,Manendragarh,422248,1726.39,,Chhattisgarh,Tier I
23,MM,Mohla-Manpur-Ambagarh Chowki,Mohla,283947,-,,Chhattisgarh,Tier I
24,–,Mungeli,Mungeli,701707,2750,255.0,Chhattisgarh,Tier I
25,NR,Narayanpur,Narayanpur,140206,6640,20.0,Chhattisgarh,Tier I
26,RG,Raigarh,Raigarh,1493627,7068,211.0,Chhattisgarh,Tier I
27,RP,Raipur,Raipur,2160876,2892,750.0,Chhattisgarh,Tier I
28,RN,Rajnandgaon,Rajnandgaon,1537520,8062,191.0,Chhattisgarh,Tier I
29,SB,Sarangarh-Bilaigarh,Sarangarh,607434,-,,Chhattisgarh,Tier I
30,ST,Sakti,Sakti,653036,-,,Chhattisgarh,Tier I
31,SK,Sukma,Sukma,250159,5897,42.0,Chhattisgarh,Tier I
32,–,Surajpur,Surajpur,789043,2787,280.0,Chhattisgarh,Tier I
33,SJ,Surguja,Ambikapur,839661,3265,150.0,Chhattisgarh,Tier I
