#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AH,Ahmedabad,Ahmedabad,7208200,7170,890,Gujarat,Tier I
2,AM,Amreli,Amreli,1513614,6760,205,Gujarat,Tier I
3,AN,Anand,Anand,2090276,2942,711,Gujarat,Tier I
4,AR,Aravalli,Modasa,1051746,3217,327,Gujarat,Tier I
5,BK,Banaskantha,Palanpur,3116045,12703,290,Gujarat,Tier I
6,BR,Bharuch,Bharuch,1550822,6524,238,Gujarat,Tier I
7,BV,Bhavnagar,Bhavnagar,2877961,11155,288,Gujarat,Tier I
8,BT,Botad,Botad,656005,2564,256,Gujarat,Tier I
9,CU,Chhota Udaipur,Chhota Udaipur,1071831,3237,331,Gujarat,Tier I
10,DA,Dahod,Dahod,2126558,3642,582,Gujarat,Tier I
11,DG,Dang,Ahwa,226769,1764,129,Gujarat,Tier I
12,DD,Devbhumi Dwarka,Khambhalia,752484,5684,132,Gujarat,Tier I
13,GA,Gandhinagar,Gandhinagar,1387478,2163,660,Gujarat,Tier I
14,GS,Gir Somnath,Veraval,1217477,3754,324,Gujarat,Tier I
15,JA,Jamnagar,Jamnagar,2159130,14125,153,Gujarat,Tier I
16,JU,Junagadh,Junagadh,2742291,8839,310,Gujarat,Tier I
17,KH,Kheda,Nadiad,2298934,4215,541,Gujarat,Tier I
18,KA,Kutch,Bhuj,2090313,45652,46,Gujarat,Tier I
19,MH,Mahisagar,Lunavada,994624,2500,440,Gujarat,Tier I
20,MA,Mehsana,Mehsana,2027727,4386,462,Gujarat,Tier I
21,MB,Morbi,Morbi,960329,4871,197,Gujarat,Tier I
22,NR,Narmada,Rajpipla,590379,2749,214,Gujarat,Tier I
23,NV,Navsari,Navsari,1330711,2211,602,Gujarat,Tier I
24,PM,Panchmahal,Godhra,2388267,5219,458,Gujarat,Tier I
25,PA,Patan,Patan,1342746,5738,234,Gujarat,Tier I
26,PO,Porbandar,Porbandar,586062,2294,255,Gujarat,Tier I
27,RA,Rajkot,Rajkot,3157676,11203,282,Gujarat,Tier I
28,SK,Sabarkantha,Himatnagar,2427346,7390,328,Gujarat,Tier I
29,ST,Surat,Surat,6081322,4418,953,Gujarat,Tier I
30,SN,Surendranagar,Surendranagar,1755873,10489,167,Gujarat,Tier I
31,TA,Tapi,Vyara,806489,3435,249,Gujarat,Tier I
32,VD,Vadodara,Vadodara,3639775,4312,467,Gujarat,Tier I
33,VL,Valsad,Valsad,1703068,3034,561,Gujarat,Tier I
