#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AM,Ambala,Ambala,1136784,1569,722,Haryana,Tier I
2,BH,Bhiwani,Bhiwani,1629109,5140,341,Haryana,Tier I
3,CD,Charkhi Dadri,Charkhi Dadri,502276,1370,367,Haryana,Tier I
4,HR,Faridabad,Faridabad,1798954,783,2298,Haryana,Tier I
5,FT,Fatehabad,Fatehabad,941522,2538,371,Haryana,Tier I
6,GU,Gurugram,Gurugram,1514085,1258,1241,Haryana,Tier I
7,HI,Hisar,Hisar,1742815,3788,438,Haryana,Tier I
8,JH,Jhajjar,Jhajjar,956907,1868,522,Haryana,Tier I
9,JI,Jind,Jind,1332042,2702,493,Haryana,Tier I
10,KT,Kaithal,Kaithal,1072861,2799,467,Haryana,Tier I
11,KR,Karnal,Karnal,1506323,2471,598,Haryana,Tier I
12,KU,Kurukshetra,Kurukshetra,964231,1530,630,Haryana,Tier I
13,MA,Mahendragarh,Narnaul,921680,1900,485,Haryana,Tier I
14,MW,Nuh,Nuh,1089406,1765,729,Haryana,Tier I
15,PW,Palwal,Palwal,1040493,1367,761,Haryana,Tier I
16,PK,Panchkula,Panchkula,558890,816,622,Haryana,Tier I
17,PP,Panipat,Panipat,1202811,1250,949,Haryana,Tier I
18,RE,Rewari,Rewari,896129,1559,562,Haryana,Tier I
19,RO,Rohtak,Rohtak,1058683,1668,607,Haryana,Tier I
20,SI,Sirsa,Sirsa,1295114,4276,303,Haryana,Tier I
21,SNP,Sonipat,Sonipat,1480080,2260,697,Haryana,Tier I
22,YN,Yamunanagar,Yamunanagar,1214162,1756,687,Haryana,Tier I
