#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,BI,Bilaspur,Bilaspur,382056,1167,327.0,Himachal Pradesh,Tier I
2,CH,Chamba,Chamba,518844,6528,80.0,Himachal Pradesh,Tier I
3,HA,Hamirpur,Hamirpur,454293,1118,406.0,Himachal Pradesh,Tier I
4,KA,Kangra,Dharamshala,1507223,5739,263.0,Himachal Pradesh,Tier I
5,KI,Kinnaur,Reckong Peo,84298,6401,13.0,Himachal Pradesh,Tier II
6,KU,Kullu,Kullu,437474,5503,79.0,Himachal Pradesh,Tier I
7,LH,Lahaul and Spiti,Keylong,18528,7835,2.3,Himachal Pradesh,Tier III
8,MA,Mandi,Mandi,999518,3950,253.0,Himachal Pradesh,Tier I
9,SH,Shimla,Shimla,813384,5131,159.0,Himachal Pradesh,Tier I
10,SI,Sirmaur,Nahan,530164,2825,188.0,Himachal Pradesh,Tier I
11,SO,Solan,Solan,576670,1936,298.0,Himachal Pradesh,Tier I
12,UN,Una,Una,521057,1540,328.0,Himachal Pradesh,Tier I
