#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AN,Anantnag,Anantnag,1070144,2853,375,Jammu and Kashmir,Tier I
2,BD,Budgam,Budgam,735753,1406,537,Jammu and Kashmir,Tier I
3,BPR,Bandipore,Bandipore,385099,3010,128,Jammu and Kashmir,Tier I
4,BR,Baramulla,Baramulla,1015503,3329,305,Jammu and Kashmir,Tier I
5,DO,Doda,Doda,409576,2625,79,Jammu and Kashmir,Tier I
6,GB,Ganderbal,Ganderbal,297003,1979,1151,Jammu and Kashmir,Tier I
7,JA,Jammu,Jammu,1526406,3097,596,Jammu and Kashmir,Tier I
8,KT,Kathua,Kathua,615711,2651,232,Jammu and Kashmir,Tier I
9,KW,Kishtwar,Kishtwar,230696,7737,30,Jammu and Kashmir,Tier I
10,KG,Kulgam,Kulgam,422786,457,925,Jammu and Kashmir,Tier I
11,KU,Kupwara,Kupwara,875564,2379,368,Jammu and Kashmir,Tier I
12,PO,Poonch,Poonch,476820,1674,285,Jammu and Kashmir,Tier I
13,PU,Pulwama,Pulwama,570060,1398,598,Jammu and Kashmir,Tier I
14,RA,Rajouri,Rajouri,619266,2630,235,Jammu and Kashmir,Tier I
15,RB,Ramban,Ramban,283313,1330,213,Jammu and Kashmir,Tier I
16,RS,Reasi,Reasi,314714,1710,184,Jammu and Kashmir,Tier I
17,SB,Samba,Samba,318611,913,318,Jammu and Kashmir,Tier I
18,SH,Shopian,Shopian,265960,312,852,Jammu and Kashmir,Tier I
19,SR,Srinagar,Srinagar,1269751,2228,703,Jammu and Kashmir,Tier I
20,UD,Udhampur,Udhampur,555357,4550,211,Jammu and Kashmir,Tier I
