#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,BO,Bokaro,Bokaro,2061918,2883,716,Jharkhand,Tier I
2,CH,Chatra,Chatra,1042304,3700,275,Jharkhand,Tier I
3,DE,Deoghar,Deoghar,1491879,2479,602,Jharkhand,Tier I
4,DH,Dhanbad,Dhanbad,2682662,2040,1316,Jharkhand,Tier I
5,DU,Dumka,Dumka,1321096,4404,300,Jharkhand,Tier I
6,ES,East Singhbhum,Jamshedpur,2291032,3562,648,Jharkhand,Tier I
7,GA,Garhwa,Garhwa,1322387,4064,327,Jharkhand,Tier I
8,GI,Giridih,Giridih,2445203,4887,497,Jharkhand,Tier I
9,GO,Godda,Godda,1311382,2110,622,Jharkhand,Tier I
10,GU,Gumla,Gumla,1025656,5360,191,Jharkhand,Tier I
11,HA,Hazaribag,Hazaribag,1734495,3555,488,Jharkhand,Tier I
12,JA,Jamtara,Jamtara,790207,1802,439,Jharkhand,Tier I
13,KH,Khunti,Khunti,530299,2535,210,Jharkhand,Tier I
14,KO,Koderma,Koderma,716259,2540,282,Jharkhand,Tier I
15,LA,Latehar,Latehar,725673,3630,200,Jharkhand,Tier I
16,LO,Lohardaga,Lohardaga,461738,1502,307,Jharkhand,Tier I
17,PK,Pakur,Pakur,899200,1805,498,Jharkhand,Tier I
18,PL,Palamu,Daltonganj,1936319,4393,442,Jharkhand,Tier I
19,RM,Ramgarh,Ramgarh,949159,1341,708,Jharkhand,Tier I
20,RA,Ranchi,Ranchi,2912022,5097,572,Jharkhand,Tier I
21,SA,Sahibganj,Sahebganj,1150038,2063,558,Jharkhand,Tier I
22,SK,Seraikela-Kharsawan,Seraikela,1063458,2657,401,Jharkhand,Tier I
23,SI,Simdega,Simdega,599813,3750,160,Jharkhand,Tier I
24,WS,West Singhbhum,Chaibasa,1501619,7224,209,Jharkhand,Tier I
