#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,BK,Bagalkot,Bagalkote,1890826,6583,288,Karnataka,Tier I
2,BL,Ballari,Ballari,1400970,4252,330,Karnataka,Tier I
3,BG,Belagavi,Belgaum,4778439,13415,356,Karnataka,Tier I
4,BR,Bangalore Rural,Bangalore,987257,2239,441,Karnataka,Tier I
5,BN,Bangalore Urban,Bangalore,9588910,2190,4378,Karnataka,Tier I
6,BD,Bidar,Bidar,1700018,5448,312,Karnataka,Tier I
7,CJ,Chamarajanagar,Chamarajanagar,1020962,5102,200,Karnataka,Tier I
8,CK,Chikkaballapur,Chikkaballapur,1254377,4208,298,Karnataka,Tier I
9,CK,Chikmagalur,Chikmagalur,1137753,7201,158,Karnataka,Tier I
10,CT,Chitradurga,Chitradurga,1660378,8437,197,Karnataka,Tier I
11,DK,Dakshina Kannada,Mangalore,2083625,4559,457,Karnataka,Tier I
12,DA,Davanagere,Davangere,1643494,4460,370,Karnataka,Tier I
13,DH,Dharwad,Dharwad,1846993,4265,434,Karnataka,Tier I
14,GA,Gadaga,Gadag-Betageri,1065235,4651,229,Karnataka,Tier I
15,GU,Kalaburagi,Kalaburagi,2564892,10990,233,Karnataka,Tier I
16,HS,Hassan,Hassan,1776221,6814,261,Karnataka,Tier I
17,HV,Haveri,Haveri,1598506,4825,331,Karnataka,Tier I
18,KD,Kodagu,Madikeri,554762,4102,135,Karnataka,Tier I
19,KL,Kolar,Kolar,1540231,4012,384,Karnataka,Tier I
20,KP,Koppal,Koppal,1391292,5565,250,Karnataka,Tier I
21,MA,Mandya,Mandya,1808680,4961,365,Karnataka,Tier I
22,MY,Mysore,Mysore,2994744,6854,437,Karnataka,Tier I
23,RA,Raichur,Raichur,1924773,6839,228,Karnataka,Tier I
24,RM,Ramanagara,Ramanagara,1082739,3573,303,Karnataka,Tier I
25,SH,Shimoga,Shimoga,1755512,8495,207,Karnataka,Tier I
26,TU,Tumakuru,Tumakuru,2681449,10598,253,Karnataka,Tier I
27,UD,Udupi,Udupi,1177908,3879,304,Karnataka,Tier I
28,UK,Uttara Kannada,Karwar,1353299,10291,132,Karnataka,Tier I
29,,Vijayanagara,Hospete,1353628,5644,240,Karnataka,Tier I
30,BJ,Bijapur,Bijapur,2175102,10517,207,Karnataka,Tier I
31,YG,Yadgir,Yadgir,1172985,5225,224,Karnataka,Tier I
