#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AL,Alappuzha,Alappuzha,2121943,1415,1501,Kerala,Tier I
2,ER,Ernakulam,Kakkanad,3279860,3063,1069,Kerala,Tier I
3,ID,Idukki,Painavu,1107453,4356,254,Kerala,Tier I
4,KN,Kannur,Kannur,2525637,2961,852,Kerala,Tier I
5,KS,Kasaragod,Kasaragod,1302600,1989,654,Kerala,Tier I
6,KL,Kollam,Kollam,2629703,2483,1056,Kerala,Tier I
7,KT,Kottayam,Kottayam,1979384,2206,896,Kerala,Tier I
8,KZ,Kozhikode,Kozhikode,3089543,2345,1318,Kerala,Tier I
9,MA,Malappuram,Malappuram,4110956,3554,1058,Kerala,Tier I
10,PL,Palakkad,Palakkad,2810892,4482,627,Kerala,Tier I
11,PT,Pathanamthitta,Pathanamthitta,1195537,2652,453,Kerala,Tier I
13,TV,Thiruvananthapuram,Thiruvananthapuram,3307284,2189,1509,Kerala,Tier I
12,TS,Thrissur,Thrissur,3110327,3027,1026,Kerala,Tier I
14,WA,Wayanad,Kalpetta,816558,2130,383,Kerala,Tier I
