#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AG,Agar Malwa,Agar,571275,2785,205,Madhya Pradesh,Tier I
2,AL,Alirajpur,Alirajpur,728677,3182,229,Madhya Pradesh,Tier I
3,AP,Anuppur,Anuppur,749521,3747,200,Madhya Pradesh,Tier I
4,AS,Ashoknagar,Ashoknagar,844979,4674,181,Madhya Pradesh,Tier I
5,BL,Balaghat,Balaghat,1701156,9229,184,Madhya Pradesh,Tier I
6,BR,Barwani,Barwani,1385659,5432,256,Madhya Pradesh,Tier I
7,BE,Betul,Betul,1575247,10043,157,Madhya Pradesh,Tier I
8,BD,Bhind,Bhind,1703562,4459,382,Madhya Pradesh,Tier I
9,BP,Bhopal,Bhopal,2368145,2772,854,Madhya Pradesh,Tier I
10,BU,Burhanpur,Burhanpur,756993,3427,221,Madhya Pradesh,Tier I
11,CT,Chhatarpur,Chhatarpur,1762857,8687,203,Madhya Pradesh,Tier I
12,CN,Chhindwara,Chhindwara,2090306,11815,177,Madhya Pradesh,Tier I
13,DM,Damoh,Damoh,1263703,7306,173,Madhya Pradesh,Tier I
14,DT,Datia,Datia,786375,2694,292,Madhya Pradesh,Tier I
15,DE,Dewas,Dewas,1563107,7020,223,Madhya Pradesh,Tier I
16,DH,Dhar,Dhar,2184672,8153,268,Madhya Pradesh,Tier I
17,DI,Dindori,Dindori,704218,7427,94,Madhya Pradesh,Tier I
18,GU,Guna,Guna,1240938,6485,194,Madhya Pradesh,Tier I
19,GW,Gwalior,Gwalior,2030543,5465,445,Madhya Pradesh,Tier I
20,HA,Harda,Harda,570302,3339,171,Madhya Pradesh,Tier I
21,,Hoshangabad,Hoshangabad,1240975,6698,185,Madhya Pradesh,Tier I
22,IN,Indore,Indore,3272335,3898,839,Madhya Pradesh,Tier I
23,JA,Jabalpur,Jabalpur,2460714,5210,472,Madhya Pradesh,Tier I
24,JH,Jhabua,Jhabua,1024091,6782,285,Madhya Pradesh,Tier I
25,KA,Katni,Katni,1291684,4947,261,Madhya Pradesh,Tier I
26,EN,Khandwa,Khandwa,1309443,7349,178,Madhya Pradesh,Tier I
27,WN,Khargone,Khargone,1872413,8010,233,Madhya Pradesh,Tier I
28,MH,Maihar,Maihar,0,-,-,Madhya Pradesh,Tier III
29,ML,Mandla,Mandla,1053522,5805,182,Madhya Pradesh,Tier I
30,MS,Mandsaur,Mandsaur,1339832,5530,242,Madhya Pradesh,Tier I
31,MG,Mauganj,Mauganj,0,-,-,Madhya Pradesh,Tier III
32,MO,Morena,Morena,1965137,4991,394,Madhya Pradesh,Tier I
33,,Narsinghpur,Narsinghpur,1092141,5133,213,Madhya Pradesh,Tier I
34,NE,Neemuch,Neemuch,825958,4267,194,Madhya Pradesh,Tier I
35,–,Niwari,Niwari,404807,1170,345,Madhya Pradesh,Tier I
36,PA,Panna,Panna,1016028,7135,142,Madhya Pradesh,Tier I
37,PD,Pandhurna,Pandhurna,0,-,-,Madhya Pradesh,Tier III
38,RS,Raisen,Raisen,1331699,8466,157,Madhya Pradesh,Tier I
39,RG,Rajgarh,Rajgarh,1546541,6143,251,Madhya Pradesh,Tier I
40,RL,Ratlam,Ratlam,1454483,4861,299,Madhya Pradesh,Tier I
41,RE,Rewa,Rewa,2363744,6314,374,Madhya Pradesh,Tier I
42,SG,Sagar,Sagar,2378295,10252,272,Madhya Pradesh,Tier I
43,ST,Satna,Satna,2228619,7502,297,Madhya Pradesh,Tier I
44,SR,Sehore,Sehore,1311008,6578,199,Madhya Pradesh,Tier I
45,SO,Seoni,Seoni,1378876,8758,157,Madhya Pradesh,Tier I
46,SH,Shahdol,Shahdol,1064989,6205,172,Madhya Pradesh,Tier I
47,SJ,Shajapur,Shajapur,1512353,6196,244,Madhya Pradesh,Tier I
48,SP,Sheopur,Sheopur,687952,6585,104,Madhya Pradesh,Tier I
49,SV,Shivpuri,Shivpuri,1725818,10290,168,Madhya Pradesh,Tier I
50,SI,Sidhi,Sidhi,1126515,10520,232,Madhya Pradesh,Tier I
51,SN,Singrauli,Waidhan,1178132,5672,208,Madhya Pradesh,Tier I
52,TI,Tikamgarh,Tikamgarh,1444920,5055,286,Madhya Pradesh,Tier I
53,UJ,Ujjain,Ujjain,1986864,6091,356,Madhya Pradesh,Tier I
54,UM,Umaria,Umaria,643579,4062,158,Madhya Pradesh,Tier I
55,VI,Vidisha,Vidisha,1458212,7362,198,Madhya Pradesh,Tier I
