#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AH,Ahmednagar,Ahmednagar,4543083,17048,266,Maharashtra,Tier I
2,AK,Akola,Akola,1818617,5429,321,Maharashtra,Tier I
3,AM,Amravati,Amravati,2887826,12235,237,Maharashtra,Tier I
4,AU,Aurangabad,Aurangabad,3695928,10107,365,Maharashtra,Tier I
5,BI,Beed,Beed,2585962,10693,242,Maharashtra,Tier I
6,BH,Bhandara,Bhandara,1198810,3890,293,Maharashtra,Tier I
7,BU,Buldhana,Buldhana,2588039,9661,268,Maharashtra,Tier I
8,CH,Chandrapur,Chandrapur,2194262,11443,192,Maharashtra,Tier I
9,OS,Osmanabad,Osmanabad,1660311,7569,219,Maharashtra,Tier I
10,DH,Dhule,Dhule,2048781,8095,285,Maharashtra,Tier I
11,GA,Gadchiroli,Gadchiroli,1071795,14412,74,Maharashtra,Tier I
12,GO,Gondia,Gondia,1322331,5431,253,Maharashtra,Tier I
13,HI,Hingoli,Hingoli,1178973,4526,244,Maharashtra,Tier I
14,JG,Jalgaon,Jalgaon,4224442,11765,359,Maharashtra,Tier I
15,JN,Jalna,Jalna,1958483,7718,255,Maharashtra,Tier I
16,KO,Kolhapur,Kolhapur,3874015,7685,504,Maharashtra,Tier I
17,LA,Latur,Latur,2455543,7157,343,Maharashtra,Tier I
18,MC,Mumbai City,Mumbai,3145966,157,20036,Maharashtra,Tier I
19,MU,Mumbai Suburban,Bandra (East),9332481,446,21000,Maharashtra,Tier I
20,ND,Nanded,Nanded,3356566,10528,319,Maharashtra,Tier I
21,NB,Nandurbar,Nandurbar,1646177,5055,276,Maharashtra,Tier I
22,NG,Nagpur,Nagpur,4653171,9892,470,Maharashtra,Tier I
23,NS,Nashik,Nashik,6109052,15539,393,Maharashtra,Tier I
24,PL,Palghar,Palghar,2990116,5344,560,Maharashtra,Tier I
25,PA,Parbhani,Parbhani,1835982,6511,295,Maharashtra,Tier I
26,PU,Pune,Pune,9426959,15643,603,Maharashtra,Tier I
27,RG,Raigad,Alibag,2635394,7152,368,Maharashtra,Tier I
28,RT,Ratnagiri,Ratnagiri,1612672,8208,196,Maharashtra,Tier I
29,SN,Sangli,Sangli,2820575,8572,329,Maharashtra,Tier I
30,ST,Satara,Satara,3003922,10475,287,Maharashtra,Tier I
31,SI,Sindhudurg,Oros,848868,5207,163,Maharashtra,Tier I
32,SO,Solapur,Solapur,4315527,14895,290,Maharashtra,Tier I
33,TH,Thane,Thane,8070032,4214,1915,Maharashtra,Tier I
34,WR,Wardha,Wardha,1296157,6309,205,Maharashtra,Tier I
35,WS,Washim,Washim,1196714,5155,244,Maharashtra,Tier I
36,YA,Yavatmal,Yavatmal,2775457,13582,204,Maharashtra,Tier I
