#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,BPR,Bishnupur,Bishnupur,240363,496,415,Manipur,Tier I
2,CDL,Chandel,Chandel,144028,3317,37,Manipur,Tier I
3,CCpr,Churachandpur,Churachandpur,271274,4574,50,Manipur,Tier I
4,IE,Imphal East,Porompat,452661,710,555,Manipur,Tier I
5,IW,Imphal West,Lamphelpat,514683,519,847,Manipur,Tier I
6,JBM,Jiribam,Jiribam,43818,232,190,Manipur,Tier III
7,KAK,Kakching,Kakching,135481,190,710,Manipur,Tier I
8,KJ,Kamjong,Kamjong,45616,2000,23,Manipur,Tier III
9,KPI,Kangpokpi,Kangpokpi,193744,1698,110,Manipur,Tier I
10,NL,Noney,Noney (Longmai),0,–,–,Manipur,Tier III
11,PZ,Pherzawl,Pherzawl,47250,2285,21,Manipur,Tier III
12,SE,Senapati,Senapati,354772,3269,116,Manipur,Tier I
13,TML,Tamenglong,Tamenglong,140143,4391,25,Manipur,Tier I
14,TNL,Tengnoupal,Tengnoupal,59110,1213,49,Manipur,Tier II
15,TBL,Thoubal,Thoubal,420517,514,713,Manipur,Tier I
16,UKR,Ukhrul,Ukhrul,183115,4547,31,Manipur,Tier I
