#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,EG,East Garo Hills,Williamnagar,317618,2603,121,Meghalaya,Tier I
2,EK,East Khasi Hills,Shillong,824059,2752,292,Meghalaya,Tier I
3,–,East Jaintia Hills,Khliehriat,122436,2115,58,Meghalaya,Tier I
4,–,Eastern West Khasi Hills,Mairang,131451,1356,97,Meghalaya,Tier I
5,–,North Garo Hills,Resubelpara,118325,1113,106,Meghalaya,Tier I
6,RB,Ri Bhoi,Nongpoh,258380,2378,109,Meghalaya,Tier I
7,SG,South Garo Hills,Baghmara,142574,1850,77,Meghalaya,Tier I
8,–,South West Garo Hills,Ampati,172495,822,210,Meghalaya,Tier I
9,–,South West Khasi Hills,Mawkyrwat,110152,1341,82,Meghalaya,Tier I
10,WG,West Garo Hills,Tura,642923,3714,173,Meghalaya,Tier I
11,WJ,West Jaintia Hills,Jowai,270352,1693,160,Meghalaya,Tier I
12,WK,West Khasi Hills,Nongstoin,385601,5247,73,Meghalaya,Tier I
