#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AI,Aizawl,Aizawl,404054,3577,113,Mizoram,Tier I
2,CH,Champhai,Champhai,125370,3168,39,Mizoram,Tier I
3,-,Hnahthial,Hnahthial,28468,–,–,Mizoram,Tier III
4,-,Khawzawl,Khawzawl,0,–,–,Mizoram,Tier III
5,KO,Kolasib,Kolasib,83054,1386,60,Mizoram,Tier II
6,LA,Lawngtlai,Lawngtlai,117444,2519,46,Mizoram,Tier I
7,LU,Lunglei,Lunglei,154094,4572,34,Mizoram,Tier I
8,MA,Mamit,Mamit,85757,2967,28,Mizoram,Tier II
9,SA,Saiha,Saiha,56366,1414,40,Mizoram,Tier II
10,-,Saitual,Saitual,0,–,–,Mizoram,Tier III
11,SE,Serchhip,Serchhip,64875,1424,46,Mizoram,Tier II
