#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,–,Chümoukedima,Chümoukedima,125400,570.0,220,Nagaland,Tier I
2,DI,Dimapur,Dimapur,379769,926.0,410,Nagaland,Tier I
3,KI,Kiphire,Kiphire,74033,1255.0,66,Nagaland,Tier II
4,KO,Kohima,Kohima,270063,1041.0,213,Nagaland,Tier I
5,LO,Longleng,Longleng,50593,885.0,89,Nagaland,Tier II
6,MK,Mokokchung,Mokokchung,193171,1615.0,120,Nagaland,Tier I
7,MN,Mon,Mon,259604,1786.0,145,Nagaland,Tier I
8,–,Niuland,Niuland,42287,483.63,87,Nagaland,Tier III
9,–,Noklak,Noklak,59300,1152.0,51,Nagaland,Tier II
10,PE,Peren,Peren,163294,2300.0,55,Nagaland,Tier I
11,PH,Phek,Phek,163294,2026.0,81,Nagaland,Tier I
12,–,Shamator,Shamator,34223,469.0,73,Nagaland,Tier III
13,–,Tseminyü,Tseminyü,63629,256.0,249,Nagaland,Tier II
14,TU,Tuensang,Tuensang,414801,4228.0,98,Nagaland,Tier I
15,WO,Wokha,Wokha,166239,1628.0,120,Nagaland,Tier I
16,ZU,Zunheboto,Zunheboto,141014,1255.0,112,Nagaland,Tier I
