#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AN,Angul,Angul,1271703,6232.0,199,Odisha,Tier I
2,BD,Boudh,Boudh,439917,3098.0,142,Odisha,Tier I
3,BH,Bhadrak,Bhadrak,1506522,2505.0,601,Odisha,Tier I
4,BL,Balangir,Balangir,1648574,6575.0,251,Odisha,Tier I
5,BR,Bargarh,Bargarh,1478833,5837.0,253,Odisha,Tier I
6,BW,Balasore,Balasore,2317419,3634.0,609,Odisha,Tier I
7,CU,Cuttack,Cuttack,2618708,3932.0,666,Odisha,Tier I
8,DE,Debagarh,Debagarh,312164,2781.0,106,Odisha,Tier I
9,DH,Dhenkanal,Dhenkanal,1192948,4452.0,268,Odisha,Tier I
10,GN,Ganjam,Chhatrapur,3529031,8206.0,430,Odisha,Tier I
11,GP,Gajapati,Paralakhemundi,575880,3850.0,133,Odisha,Tier I
12,JH,Jharsuguda,Jharsuguda,579499,2081.0,274,Odisha,Tier I
13,JP,Jajpur,Jajpur,1826275,2888.0,630,Odisha,Tier I
14,JS,Jagatsinghpur,Jagatsinghpur,1136604,1759.0,681,Odisha,Tier I
15,KH,Khordha,Khordha,2251673,2813.0,800,Odisha,Tier I
16,KJ,Kendujhar,Kendujhar,1802777,8240.0,217,Odisha,Tier I
17,KL,Kalahandi,Bhawanipatna,1573054,7920.0,199,Odisha,Tier I
18,KN,Kandhamal,Phulbani,731952,8021.0,91,Odisha,Tier I
19,KO,Koraput,Koraput,1376934,8807.0,156,Odisha,Tier I
20,KP,Kendrapara,Kendrapara,1439891,2644.0,545,Odisha,Tier I
21,ML,Malkangiri,Malkangiri,612727,5791.0,106,Odisha,Tier I
22,MY,Mayurbhanj,Baripada,2513895,10418.0,241,Odisha,Tier I
23,NB,Nabarangpur,Nabarangpur,1218762,5294.0,230,Odisha,Tier I
24,NU,Nuapada,Nuapada,606490,3408.0,157,Odisha,Tier I
25,NY,Nayagarh,Nayagarh,962215,3890.0,247,Odisha,Tier I
26,PU,Puri,Puri,1697983,3051.0,488,Odisha,Tier I
27,RA,Rayagada,Rayagada,961959,7584.7,136,Odisha,Tier I
28,SA,Sambalpur,Sambalpur,1044410,6702.0,158,Odisha,Tier I
29,SO,Subarnapur,Subarnapur,652107,2284.0,279,Odisha,Tier I
30,SU,Sundargarh,Sundergarh,2080664,9712.0,214,Odisha,Tier I
