#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AM,Amritsar,Amritsar,2490891,2673,932,Punjab,Tier I
2,BNL,Barnala,Barnala,596294,1423,419,Punjab,Tier I
3,BA,Bathinda,Bathinda,1388859,3355,414,Punjab,Tier I
4,FI,Firozpur,Firozpur,2026831,5334,380,Punjab,Tier I
5,FR,Faridkot,Faridkot,618008,1472,424,Punjab,Tier I
6,FT,Fatehgarh Sahib,Fatehgarh Sahib,599814,1180,508,Punjab,Tier I
7,FA,Fazilka,Fazilka,1180483,3113,379,Punjab,Tier I
8,GU,Gurdaspur,Gurdaspur,2299026,3542,649,Punjab,Tier I
9,HO,Hoshiarpur,Hoshiarpur,1582793,3397,466,Punjab,Tier I
10,JA,Jalandhar,Jalandhar,2181753,2625,831,Punjab,Tier I
11,KA,Kapurthala,Kapurthala,817668,1646,501,Punjab,Tier I
12,LU,Ludhiana,Ludhiana,3487882,3744,975,Punjab,Tier I
13,ML,Malerkotla,Malerkotla,429754,684,629,Punjab,Tier I
14,MA,Mansa,Mansa,768808,2174,350,Punjab,Tier I
15,MO,Moga,Moga,992289,2235,444,Punjab,Tier I
16,MU,Sri Muktsar Sahib,Sri Muktsar Sahib,902702,2596,348,Punjab,Tier I
17,PA,Pathankot,Pathankot,626154,929,674,Punjab,Tier I
18,PA,Patiala,Patiala,2892282,3175,596,Punjab,Tier I
19,RU,Rupnagar,Rupnagar,683349,1400,488,Punjab,Tier I
20,SAS,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,986147,1188,830,Punjab,Tier I
21,SA,Sangrur,Sangrur,1654408,3685,449,Punjab,Tier I
22,PB,Shahid Bhagat Singh Nagar,Nawanshahr,614362,1283,479,Punjab,Tier I
23,TT,Tarn Taran,Tarn Taran Sahib,1120070,2414,464,Punjab,Tier I
