#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AN,Anupgarh,Anupgarh,869696.0,8871.99,98.0,Rajasthan,Tier I
2,AJ,Ajmer,Ajmer,2584913.0,8481.0,305.0,Rajasthan,Tier I
3,AL,Alwar,Alwar,3671999.0,8380.0,438.0,Rajasthan,Tier I
4,BA,Balotra,Balotra,970760.0,19000.0,51.0,Rajasthan,Tier I
5,BE,Beawar,Beawar,,,,Rajasthan,
6,BI,Bikaner,Bikaner,2367745.0,27244.0,78.0,Rajasthan,Tier I
7,BM,Barmer,Barmer,2604453.0,28387.0,92.0,Rajasthan,Tier I
8,BN,Banswara,Banswara,1798194.0,5037.0,399.0,Rajasthan,Tier I
9,BP,Bharatpur,Bharatpur,2549121.0,5066.0,503.0,Rajasthan,Tier I
10,BR,Baran,Baran,1223921.0,6955.0,175.0,Rajasthan,Tier I
11,BU,Bundi,Bundi,1113725.0,5550.0,193.0,Rajasthan,Tier I
12,BW,Bhilwara,Bhilwara,2410459.0,10455.0,230.0,Rajasthan,Tier I
13,CR,Churu,Churu,2041172.0,16830.0,148.0,Rajasthan,Tier I
14,CT,Chittorgarh,Chittorgarh,1544392.0,10856.0,193.0,Rajasthan,Tier I
15,DA,Dausa,Dausa,1637226.0,3429.0,476.0,Rajasthan,Tier I
16,-,Deeg,Deeg,1072755.0,,,Rajasthan,Tier I
17,dk,Didwana Kuchaman,Didwana,1625837.0,,239.0,Rajasthan,Tier I
18,DH,Dholpur,Dholpur,1207293.0,3084.0,398.0,Rajasthan,Tier I
19,-,Dudu,Dudu,312857.0,,,Rajasthan,Tier I
20,DU,Dungarpur,Dungarpur,1388906.0,3771.0,368.0,Rajasthan,Tier I
21,GC,Gangapur city,Gangapur City,,,,Rajasthan,
22,GA,Sri Ganganagar,Sri Ganganagar,1969520.0,10990.0,179.0,Rajasthan,Tier I
23,HA,Hanumangarh,Hanumangarh,1779650.0,9670.0,184.0,Rajasthan,Tier I
24,-,Jaipur Gramin,Jaipur,,,,Rajasthan,
25,JJ,Jhunjhunu,Jhunjhunu,2139658.0,5928.0,361.0,Rajasthan,Tier I
26,JL,Jalore,Jalore,1830151.0,10640.0,172.0,Rajasthan,Tier I
27,JO,Jodhpur,Jodhpur,3685681.0,22850.0,161.0,Rajasthan,Tier I
28,-,Jodhpur Gramin,Jodhpur,,,,Rajasthan,
29,JP,Jaipur,Jaipur,6626178.0,11143.0,595.0,Rajasthan,Tier I
30,JS,Jaisalmer,Jaisalmer,672008.0,38401.0,17.0,Rajasthan,Tier I
31,JW,Jhalawar,Jhalawar,1411327.0,6219.0,227.0,Rajasthan,Tier I
32,KA,Karauli,Karauli,1458459.0,5530.0,264.0,Rajasthan,Tier I
33,KE,Kekri,Kekri,,,,Rajasthan,
34,KT,Khairthal-Tijara,Khairthal,966821.0,,,Rajasthan,Tier I
35,KP,Kotputli-Behror,Kotputli,,,,Rajasthan,
36,KO,Kota,Kota,1950491.0,5446.0,374.0,Rajasthan,Tier I
37,TO,Tonk,Tonk,1421711.0,7194.0,198.0,Rajasthan,Tier I
38,UD,Udaipur,Udaipur,3067549.0,13430.0,242.0,Rajasthan,Tier I
39,,Nagaur,Nagaur,3309234.0,17718.0,187.0,Rajasthan,Tier I
40,NT,Neem Ka Thana,Neem Ka Thana,,,,Rajasthan,
41,PA,Pali,Pali,2038533.0,12387.0,165.0,Rajasthan,Tier I
42,PH,Phalodi,Phalodi,,,,Rajasthan,
43,PG,Pratapgarh,Pratapgarh,867848.0,4112.0,211.0,Rajasthan,Tier I
44,RA,Rajsamand,Rajsamand,1158283.0,3853.0,302.0,Rajasthan,Tier I
45,SA,Sanchore,Sanchore,845457.0,181.0,4865.41,Rajasthan,Tier I
46,-,Salumbar,Salumbar,,,,Rajasthan,
47,SK,Sikar,Sikar,2677737.0,7732.0,346.0,Rajasthan,Tier I
48,-,Shahpura,Shahpura,,,,Rajasthan,
49,SM,Sawai Madhopur,Sawai Madhopur,1338114.0,4500.0,257.0,Rajasthan,Tier I
50,SR,Sirohi,Sirohi,1037185.0,5136.0,202.0,Rajasthan,Tier I
