#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AY,Ariyalur,Ariyalur,752481,3208,387,Tamil Nadu,Tier I
2,CGL,Chengalpattu,Chengalpattu,2556244,2945,868,Tamil Nadu,Tier I
3,CH,Chennai,Chennai,7139882,426,17000,Tamil Nadu,Tier I
4,CO,Coimbatore,Coimbatore,3472578,4723,748,Tamil Nadu,Tier I
5,CU,Cuddalore,Cuddalore,2600880,3999,702,Tamil Nadu,Tier I
6,DH,Dharmapuri,Dharmapuri,1502900,4532,332,Tamil Nadu,Tier I
7,DGL,Dindigul,Dindigul,2161367,6058,357,Tamil Nadu,Tier I
8,ER,Erode,Erode,2259608,5714,397,Tamil Nadu,Tier I
9,KL,Kallakurichi,Kallakurichi,1682687,3520,478,Tamil Nadu,Tier I
10,KC,Kanchipuram,Kanchipuram,1166401,1656,704,Tamil Nadu,Tier I
11,KK,Kanyakumari,Nagercoil,1863178,1685,1106,Tamil Nadu,Tier I
12,KA,Karur,Karur,1076588,2901,371,Tamil Nadu,Tier I
13,KR,Krishnagiri,Krishnagiri,1883731,5086,370,Tamil Nadu,Tier I
14,MDU,Madurai,Madurai,3191038,3676,823,Tamil Nadu,Tier I
15,MLD,Mayiladuthurai,Mayiladuthurai,918356,1172,784,Tamil Nadu,Tier I
16,NG,Nagapattinam,Nagapattinam,1614069,2716,668,Tamil Nadu,Tier I
17,NI,Nilgiris,Ooty,735071,2549,288,Tamil Nadu,Tier I
18,NM,Namakkal,Namakkal,1721179,3429,506,Tamil Nadu,Tier I
19,PE,Perambalur,Perambalur,564511,1752,323,Tamil Nadu,Tier I
20,PU,Pudukkottai,Pudukkottai,1918725,4651,348,Tamil Nadu,Tier I
21,RA,Ramanathapuram,Ramanathapuram,1337560,4123,320,Tamil Nadu,Tier I
22,RN,Ranipet,Ranipettai,1210277,2234,524,Tamil Nadu,Tier I
23,SA,Salem,Salem,3480008,5245,663,Tamil Nadu,Tier I
24,SVG,Sivaganga,Sivagangai,1341250,4086,324,Tamil Nadu,Tier I
25,TS,Tenkasi,Tenkasi,1407627,2916,483,Tamil Nadu,Tier I
26,TP,Tiruppur,Tiruppur,2471222,5106,476,Tamil Nadu,Tier I
27,TC,Tiruchirappalli,Tiruchirappalli,2713858,4407,602,Tamil Nadu,Tier I
28,TH,Theni,Theni,1243684,3066,433,Tamil Nadu,Tier I
29,TI,Tirunelveli,Tirunelveli,1665253,3842,433,Tamil Nadu,Tier I
30,TJ,Thanjavur,Thanjavur,2402781,3397,691,Tamil Nadu,Tier I
31,TK,Thoothukudi,Thoothukudi,1738376,4594,378,Tamil Nadu,Tier I
32,TP,Tirupattur,Tirupattur,1111812,1798,618,Tamil Nadu,Tier I
33,TL,Tiruvallur,Tiruvallur,3725697,3424,1049,Tamil Nadu,Tier I
34,TR,Tiruvarur,Thiruvarur,1268094,2377,533,Tamil Nadu,Tier I
35,TV,Tiruvannamalai,Tiruvannaamalai,2468965,6191,399,Tamil Nadu,Tier I
36,VE,Vellore,Vellore,1614242,2080,776,Tamil Nadu,Tier I
37,VL,Viluppuram,Viluppuram,2093003,3725,562,Tamil Nadu,Tier I
38,VNR,Virudhunagar,Virudhunagar,1943309,3446,454,Tamil Nadu,Tier I
