#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AD,Adilabad,Adilabad,708952,4185.97,171,Telangana,Tier I
2,–,Bhadradri Kothagudem,Kothagudem,1304811,8951.0,143,Telangana,Tier I
3,–,Hanamkonda,Hanamkonda,1135707,1304.5,826,Telangana,Tier I
4,HY,Hyderabad,Hyderabad,3943323,217.0,18172,Telangana,Tier I
5,–,Jagtial,Jagtial,983414,3043.23,407,Telangana,Tier I
6,–,Jangaon,Jangaon,582457,2187.5,259,Telangana,Tier I
7,–,Jayashankar Bhupalpally,Bhupalpally,712257,6361.7,115,Telangana,Tier I
8,–,Jogulamba Gadwal,Gadwal,664971,2928.0,208,Telangana,Tier I
9,–,Kamareddy,Kamareddy,972625,3651.0,266,Telangana,Tier I
10,KA,Karimnagar,Karimnagar,1016063,2379.07,473,Telangana,Tier I
11,KH,Khammam,Khammam,1401639,4453.0,321,Telangana,Tier I
12,–,Kumuram Bheem Asifabad,Asifabad,515835,4300.16,106,Telangana,Tier I
13,–,Mahabubabad,Mahabubabad,770170,2876.7,269,Telangana,Tier I
14,MA,Mahbubnagar,Mahbubnagar,1318110,4037.0,281,Telangana,Tier I
15,–,Mancherial,Mancherial,807037,4056.36,201,Telangana,Tier I
16,ME,Medak,Medak,767428,2740.89,275,Telangana,Tier I
17,–,Medchal–Malkajgiri,Shamirpet,2542203,5005.98,2251,Telangana,Tier I
18,–,Mulugu,Mulugu,294671,3881.0,124,Telangana,Tier I
19,,Nalgonda,Nalgonda,1631399,2449.79,227,Telangana,Tier I
20,–,Narayanpet,Narayanpet,566874,2336.44,243,Telangana,Tier I
21,–,Nagarkurnool,Nagarkurnool,893308,6545.0,124,Telangana,Tier I
22,–,Nirmal,Nirmal,709415,3562.51,185,Telangana,Tier I
23,NI,Nizamabad,Nizamabad,1534428,4153.0,366,Telangana,Tier I
24,–,Peddapalli,Peddapalli,795332,4614.74,356,Telangana,Tier I
25,–,Rajanna Sircilla,Sircilla,546121,2030.89,273,Telangana,Tier I
26,RA,Ranga Reddy,Hyderabad,2551731,5031.0,486,Telangana,Tier I
27,–,Sangareddy,Sangareddy,1527628,4464.87,347,Telangana,Tier I
28,–,Siddipet,Siddipet,993376,3425.19,279,Telangana,Tier I
29,–,Suryapet,Suryapet,1099560,3374.47,305,Telangana,Tier I
30,–,Vikarabad,Vikarabad,881250,3385.0,274,Telangana,Tier I
31,–,Wanaparthy,Wanaparthy,751553,2938.0,268,Telangana,Tier I
32,WL,Warangal,Warangal,716457,2175.5,330,Telangana,Tier I
33,–,Yadadri Bhuvanagiri,Bhongir,726465,3091.48,239,Telangana,Tier I
