#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AL,Almora,Almora,621927,3090,198,Uttarakhand,Tier I
2,BA,Bageshwar,Bageshwar,259840,2310,116,Uttarakhand,Tier I
3,CL,Chamoli,Gopeshwar,391114,7692,49,Uttarakhand,Tier I
4,CP,Champawat,Champawat,259315,1781,147,Uttarakhand,Tier I
5,DD,Dehradun,Dehradun,1698560,3088,550,Uttarakhand,Tier I
6,HA,Haridwar,Haridwar,1927029,2360,817,Uttarakhand,Tier I
7,,Nainital,Nainital,955128,3853,225,Uttarakhand,Tier I
8,PG,Pauri Garhwal,Pauri,686527,5438,129,Uttarakhand,Tier I
9,PI,Pithoragarh,Pithoragarh,485993,7110,69,Uttarakhand,Tier I
10,RP,Rudraprayag,Rudraprayag,236857,1896,119,Uttarakhand,Tier I
11,TG,Tehri Garhwal,New Tehri,616409,4085,169,Uttarakhand,Tier I
12,US,Udham Singh Nagar,Rudrapur,1648367,2912,648,Uttarakhand,Tier I
13,UT,Uttarkashi,Uttarkashi,329686,7951,41,Uttarakhand,Tier I
