#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,AD,Alipurduar,Alipurduar,1501983,3136.0,479,West Bengal,Tier I
2,BN,Bankura,Bankura,3596292,6882.0,523,West Bengal,Tier I
3,BI,Birbhum,Suri,3502387,4545.0,771,West Bengal,Tier I
4,KB,Cooch Behar,Cooch Behar,2822780,3387.0,833,West Bengal,Tier I
5,DD,Dakshin Dinajpur,Balurghat,1670931,2183.0,753,West Bengal,Tier I
6,DA,Darjeeling,Darjeeling,1595181,2093.0,762,West Bengal,Tier I
7,HG,Hooghly,Chinsurah,5520389,3149.0,1753,West Bengal,Tier I
8,HR,Howrah,Howrah,4841638,1467.0,3300,West Bengal,Tier I
9,JA,Jalpaiguri,Jalpaiguri,3869675,6227.0,621,West Bengal,Tier I
10,JH,Jhargram,Jhargram,1136548,3038.0,374,West Bengal,Tier I
11,KA,Kalimpong,Kalimpong,251642,1054.0,239,West Bengal,Tier I
12,KO,Kolkata,Kolkata,4486679,206.08,24252,West Bengal,Tier I
13,MA,Maldah,English Bazar,3997970,3733.0,1071,West Bengal,Tier I
14,MSD,Murshidabad,Baharampur,7102430,5324.0,1334,West Bengal,Tier I
15,,Nadia,Krishnanagar,5168488,3927.0,1316,West Bengal,Tier I
16,PN,North 24 Parganas,Barasat,10082852,4094.0,2463,West Bengal,Tier I
17,BR,Paschim Bardhaman,Asansol,2882031,1603.0,1798,West Bengal,Tier I
18,PM,Paschim Medinipur,Midnapore,4776909,6308.0,757,West Bengal,Tier I
19,BR,Purba Bardhaman,Bardhaman,4835532,5433.0,890,West Bengal,Tier I
20,PR,Purba Medinipur,Tamluk,5095875,4736.0,1076,West Bengal,Tier I
21,PU,Purulia,Purulia,2927965,6259.0,468,West Bengal,Tier I
22,PS,South 24 Parganas,Alipore,8161961,9960.0,819,West Bengal,Tier I
23,UD,Uttar Dinajpur,Raiganj,3000849,3180.0,956,West Bengal,Tier I
