Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
–,Chümoukedima,Chümoukedima,125400,570.0,220,Nagaland,Tier III
DI,Dimapur,Dimapur,379769,926.0,410,Nagaland,Tier III
KI,Kiphire,Kiphire,74033,1255.0,66,Nagaland,Tier III
KO,Kohima,Kohima,270063,1041.0,213,Nagaland,Tier III
LO,Longleng,Longleng,50593,885.0,89,Nagaland,Tier III
MK,Mokokchung,Mokokchung,193171,1615.0,120,Nagaland,Tier III
MN,Mon,Mon,259604,1786.0,145,Nagaland,Tier III
–,Niuland,Niuland,42287,483.63,87,Nagaland,Tier III
–,Noklak,Noklak,59300,1152.0,51,Nagaland,Tier III
PE,Peren,Peren,163294,2300.0,55,Nagaland,Tier III
PH,Phek,Phek,163294,2026.0,81,Nagaland,Tier III
–,Shamator,Shamator,34223,469.0,73,Nagaland,Tier III
–,Tseminyü,Tseminyü,63629,256.0,249,Nagaland,Tier III
TU,Tuensang,Tuensang,414801,4228.0,98,Nagaland,Tier III
WO,Wokha,Wokha,166239,1628.0,120,Nagaland,Tier III
ZU,Zunheboto,Zunheboto,141014,1255.0,112,Nagaland,Tier III
AM,Amritsar,Amritsar,2490891,2673.0,932,Punjab,Tier II
BNL,Barnala,Barnala,596294,1423.0,419,Punjab,Tier III
BA,Bathinda,Bathinda,1388859,3355.0,414,Punjab,Tier III
FI,Firozpur,Firozpur,2026831,5334.0,380,Punjab,Tier III
FR,Faridkot,Faridkot,618008,1472.0,424,Punjab,Tier III
FT,Fatehgarh Sahib,Fatehgarh Sahib,599814,1180.0,508,Punjab,Tier III
FA,Fazilka,Fazilka,1180483,3113.0,379,Punjab,Tier III
GU,Gurdaspur,Gurdaspur,2299026,3542.0,649,Punjab,Tier III
HO,Hoshiarpur,Hoshiarpur,1582793,3397.0,466,Punjab,Tier III
JA,Jalandhar,Jalandhar,2181753,2625.0,831,Punjab,Tier II
KA,Kapurthala,Kapurthala,817668,1646.0,501,Punjab,Tier III
LU,Ludhiana,Ludhiana,3487882,3744.0,975,Punjab,Tier II
ML,Malerkotla,Malerkotla,429754,684.0,629,Punjab,Tier III
MA,Mansa,Mansa,768808,2174.0,350,Punjab,Tier III
MO,Moga,Moga,992289,2235.0,444,Punjab,Tier III
MU,Sri Muktsar Sahib,Sri Muktsar Sahib,902702,2596.0,348,Punjab,Tier III
